source,url,paragraph,categories
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"From the outset the termanti-Semitismbore special racial connotations and meant specifically prejudice against Jews.The term has been described as confusing, for in modern usage Semiticdesignates a language group, not a race. In this sense, the term is a misnomer, since there are many speakers of Semitic languages(e.g.,Arabs,Ethiopians, and Assyrians) who are not the objects of antisemitic prejudices, while there are many Jews who do not speak Hebrew, a Semitic language. Thoughantisemitismcould be construed asprejudiceagainst people who speak other Semitic languages, this is not how the term is commonly used.",[0]
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"The term may be spelled with or without a hyphen (antisemitismoranti-Semitism). Many scholars and institutions favor the unhyphenated form.Shmuel Almog argued, ""If you use the hyphenated form, you consider the words 'Semitism', 'Semite', 'Semitic' as meaningful ... n antisemitic parlance, 'Semites' really stands for Jews, just that.""Emil Fackenheimsupported the unhyphenated spelling, in order to "" the notion that there is an entity 'Semitism' which 'anti-Semitism' opposes.""",[0]
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"Others endorsing an unhyphenated term for the same reason include the International Holocaust Remembrance Alliance;historian Deborah Lipstadt;Padraic O'Hare, professor of Religious and Theological Studies and Director of the Center for the Study of Jewish-Christian-Muslim Relations at Merrimack College; and historians Yehuda Bauerand James Carroll. According to Carroll, who first cites O'Hare and Bauer on ""the existence of something called 'Semitism'"", ""the hyphenated word thus reflects the bipolarity that is at the heart of the problem of antisemitism"".",[0]
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"The Associated Pressand its accompanying AP Stylebookadopted the unhyphenated spelling in 2021.Style guides for other news organizations such as the New York Timesand Wall Street Journallater adopted this spelling as well.It has also been adopted by many Holocaust museums, such as the United States Holocaust Memorial Museumand Yad Vashem.",[0]
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"Though the general definition of antisemitism is hostility or prejudice against Jews, and, according to Olaf Blaschke, has become an ""umbrella term for negative stereotypes about Jews"",a number of authorities have developed more formal definitions.",[0]
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"Writing in 1987, Holocaust scholar and City University of New Yorkprofessor Helen Feindefined it as ""a persisting latent structure of hostile beliefs towards Jewשs as a collective manifested in individuals as attitudes, and in culture as myth, ideology, folklore and imagery, and in actionsג€”social or legal discrimination, political mobilization against the Jews, and collective or state violenceג€”which results in and/or is designed to distance, displace, or destroy Jews as Jews.""","[1, 2, 4]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"Elaborating on Fein's definition, Dietz Bering of the University of Colognewrites that, to antisemites, ""Jews are not only partially but totally bad by nature, that is, their bad traits are incorrigible. Because of this bad nature: (1) Jews have to be seen not as individuals but as a collective. (2) Jews remain essentially alien in the surrounding societies. (3) Jews bring disaster on their 'host societies' or on the whole world, they are doing it secretly, therefore the anti-Semites feel obliged to unmask the conspiratorial, bad Jewish character.""","[1, 2, 5]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"For Swiss historian Sonja Weinberg, as distinct from economic and religiousanti-Judaism, antisemitism in its specifically modern form shows conceptual innovation, a resort to ""science"" to defend itself, new functional forms, and organisational differences. It was anti-liberal, racialist and nationalist. It promoted the myth that Jews conspired to 'judaise' the world; it served to consolidate social identity; it channeled dissatisfactions among victims of the capitalist system; and it was used as a conservative cultural code to fight emancipation and liberalism.","[1, 2, 5]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"In 2003, Israeli politician Natan Sharanskydevelopedwhat he called the ""three D"" testto distinguish antisemitism from criticism of Israel, givingdelegitimization, demonization, and double standards as a litmus test for the former.",[3]
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"Bernard Lewis, writing in 2006, defined antisemitism as a special case of prejudice, hatred, or persecution directed against people who are in some way different from the rest. According to Lewis, antisemitism is marked by two distinct features: Jews are judged according to a standard different from that applied to others, and they are accused of ""cosmic evil"".Thus, ""it is perfectly possible to hate and even to persecute Jews without necessarily being anti-Semitic"" unless this hatred or persecution displays one of the two features specific to antisemitism.","[2, 5]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"There have been a number of efforts by international and governmental bodies to define antisemitism formally. In 2005, the United States Department of Statestated that ""while there is no universally accepted definition, there is a generally clear understanding of what the term encompasses."" For the purposes of its 2005 Report on Global Anti-Semitism, the term was considered to mean ""hatred toward Jewsג€”individually and as a groupג€”that can be attributed to the Jewish religion and/or ethnicity.""",[0]
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"In 2005, the European Monitoring Centre on Racism and Xenophobia(EUMC, now the Fundamental Rights Agency), an agency of the European Union, developed a more detailedworking definition, which stated: ""Antisemitism is a certain perception of Jews, which may be expressed as hatred toward Jews. Rhetorical and physical manifestations of antisemitism are directed toward Jewish or non-Jewish individuals and/or their property, toward Jewish community institutions and religious facilities."" It also adds that ""such manifestations could also target the state of Israel, conceived as a Jewish collectivity,"" but that ""criticism of Israel similar to that leveled against any other country cannot be regarded as antisemitic.""It provided contemporary examples of ways in which antisemitism may manifest itself, including promoting the harming of Jews in the name of an ideology or religion; promoting negative stereotypes of Jews; holding Jews collectively responsible for the actions of an individual Jewish person or group;denying the Holocaustor accusing Jews or Israel of exaggerating it; and accusing Jews ofdual loyaltyor a greater allegiance to Israel than their own country. It also lists ways in which attacking Israel could be antisemitic, and states that denying the Jewish people their right to self-determination, e.g. by claiming that the existence of a state of Israel is a racist endeavor, can be a manifestation of antisemitismג€”as can applying double standards by requiring of Israel a behavior not expected or demanded of any other democratic nation, or holding Jews collectively responsible for the actions of the State of Israel.","[2, 3, 4, 5]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"The EUMC working definition was adopted by the European Parliament Working Group on Antisemitism in 2010,by the United States Department of Statein 2017,in the Operational Hate Crime Guidance of the UKCollege of Policingin 2014[non-primary source needed]and by the UK's Campaign Against Antisemitism.[non-primary source needed]In 2016, the working definition was adopted by the International Holocaust Remembrance Alliance.IHRA's Working definition of antisemitismis among the most controversial documents related to opposition to antisemitism, and critics argue that it has been used to censor criticism of Israel.In response to the perceived lack of clarity in the IHRA definition, two new definitions of antisemitism were published in 2021, the Nexus Documentin February 2021 and the Jerusalem Declaration on Antisemitismin March 2021.",[0]
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"In 1879,Wilhelm Marrfounded the Antisemiten-Liga(Anti-Semitic League).Identification with antisemitism and as an antisemite was politically advantageous in Europe during the late 19th century. For example,Karl Lueger, the popular mayor offin de siֳ¨cle Vienna, skillfully exploited antisemitism as a way of channeling public discontent to his political advantage.[page needed]In its 1910 obituary of Lueger,The New York Timesnotes that Lueger was ""Chairman of the Christian Social Union of the Parliament and of the Anti-Semitic Union of the Diet of Lower Austria.In 1895,A. C. Cuzaorganized the Alianָ›a Antisemitִƒand the Liga Antisemitִƒ Universalִƒin Bucharest.In the period before World War II, when animosity towards Jews was far more commonplace, it was not uncommon for a person, an organization, or a political party to self-identify as an antisemite or antisemitic.[citation needed]","[1, 2]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"The early Zionistpioneer Leon Pinsker, a professional physician, preferred the clinical-sounding term Judeophobiato antisemitism, which he regarded as a misnomer. The word Judeophobiafirst appeared in his pamphlet ""Auto-Emancipation"", published anonymously in German in September 1882, where it was described as an irrational fear or hatred of Jews.According to Pinsker, this irrational fear was an inherited predisposition.",[1]
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"Judeophobia is a form of demonopathy, with the distinction that the Jewish ghost has become known to the whole race of mankind, not merely to certain races... Judeophobia is a psychic disorder. As a psychic disorder, it is hereditary, and as a disease transmitted for two thousand years it is incurable... Thus have Judaism and Jew-hatred passed through history for centuries as inseparable companions... Having analyzed Judeophobia as a hereditary form of demonopathy, peculiar to the human race, and represented Jew-hatred as based upon an inherited aberration of the human mind, we must draw the important conclusion, that we must give up contending against these hostile impulses, just as we give up contending against every other inherited predisposition.","[1, 2]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"In the aftermath of the Kristallnachtpogrom in 1938, German propaganda minister Goebbelsannounced: ""The German people is anti-Semitic. It has no desire to have its rights restricted or to be provoked in the future by parasites of the Jewish race.""","[1, 2, 4]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"After 1945victory of the Allies over Nazi Germany, and particularly after the full extent of the Nazi genocide against the Jewsbecame known, the termantisemitismacquiredpejorativeconnotations. This marked a full circle shift in usage, from an era just decades earlier when ""Jew"" was used as a pejorative term.Yehuda Bauer wrote in 1984: ""There are no anti-Semites in the world ... Nobody says, 'I am anti-Semitic.' You cannot, after Hitler. The word has gone out of fashion.""","[1, 4]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"The study of antisemitism has become politically controversial because of differing interpretations of the Holocaust and the Israeliג€“Palestinian conflict.There are two competing views of antisemitism, eternalism, and contextualism.The eternalist view sees antisemitism as separate from other forms of racism and prejudice and an exceptionalist, transhistorical forceteleologicallyculminating in the Holocaust.Hannah Arendt criticized this approach, writing that it provoked ""the uncomfortable question: 'Why the Jews of all people?' ... with the question begging reply: Eternal hostility.""Zionist thinkers and antisemites draw different conclusions from what they perceive as the eternal hatred of Jews; according to antisemites, it proves the inferiority of Jews, while for Zionists it means that Jews need their own state as a refuge.Most Zionists do not believe that antisemitism can be combatted with education or other means.","[1, 3]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"The contextual approach treats antisemitism as a type of racism and focuses on the historical context in which hatred of Jews emerges.Some contextualists restrict the use of ""antisemitism"" to refer exclusively to the era of modern racism, treating anti-Judaism as a separate phenomenon.Historian David Engelhas challenged the project to define antisemitism, arguing that it essentializes Jewish history as one of persecution and discrimination.Engel argues that the term ""antisemitism"" is not useful in historical analysis because it implies that there are links between anti-Jewish prejudices expressed in different contexts, without evidence of such a connection.",[0]
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"Antisemitism manifests itself in a variety of ways.Renֳ© Kֳ¶nigmentions social antisemitism, economic antisemitism, religious antisemitism, and political antisemitism as examples. Kֳ¶nig points out that these different forms demonstrate that the ""origins of anti-Semitic prejudices are rooted in different historical periods."" Kֳ¶nig asserts that differences in the chronology of different antisemitic prejudices and the irregular distribution of such prejudices over different segments of the population create ""serious difficulties in the definition of the different kinds of anti-Semitism.""",[0]
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"These difficulties may contribute to the existence of different taxonomies that have been developed to categorize the forms of antisemitism. The forms identified are substantially the same; it is primarily the number of forms and their definitions that differ.Bernard Lazare, writing in the 1890s, identified three forms of antisemitism:Christian antisemitism, economic antisemitism, and ethnologic antisemitism.William Brusteinnames four categories: religious, racial, economic, and political.The Roman Catholichistorian Edward Flannerydistinguished four varieties of antisemitism:",[0]
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"Europe has blamed the Jewsfor an encyclopedia ofsins.The Churchblamed the Jews forkilling Jesus;Voltaireblamed the Jews forinventing Christianity. In the febrile minds of anti-Semites, Jews wereusurersandwell-poisonersandspreaders of disease. Jews were the creators of bothcommunismandcapitalism; they wereclannishbut alsocosmopolitan; cowardly and warmongering; self-righteous moralists and defilers of culture.Ideologues and demagogues of many permutations have understood the Jews to be a singularly malevolent force standing between the world and its perfection.","[2, 5]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"Louis Harap, writing in the 1980s, separated ""economic antisemitism"" and merges ""political"" and ""nationalistic"" antisemitism into ""ideological antisemitism"". Harap also adds a category of ""social antisemitism"".",[0]
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"Religious antisemitism, also known as anti-Judaism, is antipathy towards Jews because of their perceived religious beliefs. In theory, antisemitism and attacks against individual Jews would stop if Jews stopped practicing Judaism or changed their public faith, especially byconversionto the official or right religion. However, in some cases, discrimination continues after conversion, as in the case of Marranos(Christianized Jews in Spain and Portugal) in the late 15th century and 16th century, who were suspected of secretly practising Judaism or Jewish customs.","[1, 2]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"Although the origins of antisemitism are rooted in the Judeo-Christian conflict, other forms of antisemitism have developed in modern times. Frederick Schweitzer asserts that ""most scholars ignore the Christian foundation on which the modern antisemitic edifice rests and invoke political antisemitism, cultural antisemitism, racism or racial antisemitism, economic antisemitism, and the like.""William Nicholls draws a distinction between religious antisemitism and modern antisemitism based on racial or ethnic grounds: ""The dividing line was the possibility of effective conversion [...] a Jew ceased to be a Jew uponbaptism."" From the perspective of racial antisemitism, however, ""the assimilated Jew was still a Jew, even after baptism.[...] From the Enlightenmentonward, it is no longer possible to draw clear lines of distinction between religious and racial forms of hostility towards Jews[...] Once Jews have been emancipated and secular thinking makes its appearance, without leaving behind the old Christian hostility towards Jews, the new term antisemitism becomes almost unavoidable, even before explicitly racist doctrines appear.""","[1, 2]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"Some Christians such as the Catholic priest Ernest Jouin, who published the first French translation of the Protocols, combined religious and racial antisemitism, as in his statement that ""From the triple viewpoint of race, of nationality, and of religion, the Jew has become the enemy of humanity.""The virulent antisemitism ofֳ‰douard Drumont, one of the most widely read Catholic writers in France during the Dreyfus Affair, likewise combined religious and racial antisemitism.Drumont founded the Antisemitic League of France.","[1, 2, 5]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,The underlying premise of economic antisemitism is that Jews perform harmful economic activities or that economic activities become harmful when they are performed by Jews.,"[2, 5]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"Linking Jews and money underpins the most damaging and lastingantisemitic canards.Antisemites claim that Jews control the world finances, a theory promoted in the fraudulent The Protocols of the Elders of Zionand later repeated by Henry Fordand his The Dearborn Independent. In the modern era, such myths continue to be spread in books such as The Secret Relationship Between Blacks and Jewspublished by the Nation of Islamand on the internet.","[1, 2, 5]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,Derek Penslarwrites that there are two components to the financial canards:[incomplete short citation],[0]
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,Abraham Foxmandescribes six facets of the financial canards:,[0]
